id_employee,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,nombre_heures_travailless,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel
1,41,F,5993,C̩libataire,Commercial,Cadre Commercial,8,80,8,6,4
2,49,M,5130,Mari̩(e),Consulting,Assistant de Direction,1,80,10,10,7
4,37,M,2090,C̩libataire,Consulting,Consultant,6,80,7,0,0
5,33,F,2909,Mari̩(e),Consulting,Assistant de Direction,1,80,8,8,7
7,27,M,3468,Mari̩(e),Consulting,Consultant,9,80,6,2,2
8,32,M,3068,C̩libataire,Consulting,Consultant,0,80,8,7,7
10,59,F,2670,Mari̩(e),Consulting,Consultant,4,80,12,1,0
11,30,M,2693,Divorc̩(e),Consulting,Consultant,1,80,1,1,0
12,38,M,9526,C̩libataire,Consulting,Tech Lead,0,80,10,9,7
13,36,M,5237,Mari̩(e),Consulting,Manager,6,80,17,7,7
14,35,M,2426,Mari̩(e),Consulting,Consultant,0,80,6,5,4
15,29,F,4193,C̩libataire,Consulting,Consultant,0,80,10,9,5
16,31,M,2911,Divorc̩(e),Consulting,Assistant de Direction,1,80,5,5,2
18,34,M,2661,Divorc̩(e),Consulting,Consultant,0,80,3,2,2
19,28,M,2028,C̩libataire,Consulting,Consultant,5,80,6,4,2
20,29,F,9980,Divorc̩(e),Consulting,Tech Lead,1,80,10,10,9
21,32,M,3298,Divorc̩(e),Consulting,Assistant de Direction,0,80,7,6,2
22,22,M,2935,Divorc̩(e),Consulting,Consultant,1,80,1,1,0
23,53,F,15427,Mari̩(e),Commercial,Senior Manager,2,80,31,25,8
24,38,M,3944,C̩libataire,Consulting,Assistant de Direction,5,80,6,3,2
26,24,F,4011,Divorc̩(e),Consulting,Tech Lead,0,80,5,4,2
27,36,M,3407,C̩libataire,Commercial,Repr̩sentant Commercial,7,80,10,5,3
28,34,F,11994,C̩libataire,Consulting,Directeur Technique,0,80,13,12,6
30,21,M,1232,C̩libataire,Consulting,Assistant de Direction,1,80,0,0,0
31,34,M,2960,C̩libataire,Consulting,Assistant de Direction,2,80,8,4,2
32,53,F,19094,Divorc̩(e),Consulting,Senior Manager,4,80,26,14,13
33,32,F,3919,C̩libataire,Consulting,Assistant de Direction,1,80,10,10,2
35,42,M,6825,Mari̩(e),Commercial,Cadre Commercial,0,80,10,9,7
36,44,F,10248,Mari̩(e),Consulting,Manager,3,80,24,22,6
38,46,F,18947,C̩libataire,Commercial,Senior Manager,3,80,22,2,2
39,33,M,2496,C̩libataire,Consulting,Consultant,4,80,7,1,1
40,44,M,6465,Mari̩(e),Consulting,Manager,2,80,9,4,2
41,30,M,2206,C̩libataire,Consulting,Consultant,1,80,10,10,0
42,39,M,2086,Mari̩(e),Commercial,Repr̩sentant Commercial,3,80,19,1,0
45,24,M,2293,Mari̩(e),Consulting,Assistant de Direction,2,80,6,2,0
46,43,F,2645,Divorc̩(e),Consulting,Assistant de Direction,1,80,6,5,3
47,50,M,2683,Mari̩(e),Commercial,Repr̩sentant Commercial,1,80,3,3,2
49,35,F,2014,Mari̩(e),Commercial,Repr̩sentant Commercial,1,80,2,2,2
51,36,F,3419,Mari̩(e),Consulting,Assistant de Direction,9,80,6,1,1
52,33,F,5376,Mari̩(e),Commercial,Cadre Commercial,2,80,10,5,3
53,35,M,1951,Divorc̩(e),Consulting,Consultant,1,80,1,1,0
54,27,F,2341,Divorc̩(e),Consulting,Consultant,1,80,1,1,0
55,26,M,2293,C̩libataire,Consulting,Consultant,1,80,1,1,0
56,27,M,8726,C̩libataire,Commercial,Cadre Commercial,1,80,9,9,8
57,30,F,4011,C̩libataire,Consulting,Consultant,1,80,12,12,8
58,41,F,19545,Mari̩(e),Consulting,Directeur Technique,1,80,23,22,15
60,34,M,4568,C̩libataire,Commercial,Cadre Commercial,0,80,10,9,5
61,37,M,3022,Mari̩(e),Consulting,Assistant de Direction,4,80,8,1,0
62,46,M,5772,C̩libataire,Commercial,Cadre Commercial,4,80,14,9,6
63,35,M,2269,Mari̩(e),Consulting,Consultant,1,80,1,1,0
64,48,M,5381,C̩libataire,Consulting,Consultant,9,80,23,1,0
65,28,M,3441,C̩libataire,Consulting,Consultant,1,80,2,2,2
68,44,F,5454,Divorc̩(e),Commercial,Cadre Commercial,5,80,9,4,3
70,35,M,9884,Mari̩(e),Consulting,Manager,2,80,10,4,0
72,26,F,4157,Mari̩(e),Commercial,Cadre Commercial,7,80,5,2,2
73,33,F,13458,C̩libataire,Consulting,Directeur Technique,1,80,15,15,14
74,35,M,9069,Mari̩(e),Commercial,Cadre Commercial,1,80,9,9,8
75,35,F,4014,Mari̩(e),Consulting,Consultant,3,80,4,2,2
76,31,M,5915,Divorc̩(e),Consulting,Consultant,3,80,10,7,7
77,37,M,5993,Divorc̩(e),Consulting,Tech Lead,1,80,7,7,5
78,32,M,6162,Mari̩(e),Consulting,Tech Lead,1,80,9,9,8
79,38,F,2406,C̩libataire,Consulting,Consultant,1,80,10,10,3
80,50,F,18740,Divorc̩(e),Consulting,Directeur Technique,5,80,29,27,3
81,59,F,7637,C̩libataire,Commercial,Cadre Commercial,7,80,28,21,16
83,36,F,10096,Divorc̩(e),Consulting,Manager,1,80,17,17,14
84,55,F,14756,Divorc̩(e),Consulting,Senior Manager,2,80,21,5,0
85,36,M,6499,C̩libataire,Consulting,Tech Lead,1,80,6,6,5
86,45,M,9724,Divorc̩(e),Consulting,Assistant de Direction,2,80,25,1,0
88,35,M,2194,Mari̩(e),Consulting,Assistant de Direction,4,80,5,3,2
90,36,M,3388,Mari̩(e),Consulting,Assistant de Direction,0,80,2,1,0
91,59,F,5473,C̩libataire,Commercial,Cadre Commercial,7,80,20,4,3
94,29,M,2703,Mari̩(e),Consulting,Assistant de Direction,0,80,6,5,4
95,31,M,2501,C̩libataire,Consulting,Assistant de Direction,1,80,1,1,1
96,32,M,6220,Mari̩(e),Consulting,Assistant de Direction,1,80,10,10,4
97,36,F,3038,Mari̩(e),Consulting,Consultant,3,80,5,1,0
98,31,F,4424,C̩libataire,Consulting,Tech Lead,1,80,11,11,7
100,35,M,4312,C̩libataire,Commercial,Cadre Commercial,0,80,16,15,13
101,45,M,13245,Mari̩(e),Consulting,Directeur Technique,4,80,17,0,0
102,37,M,13664,C̩libataire,Consulting,Directeur Technique,4,80,16,5,2
103,46,M,5021,Divorc̩(e),Ressources Humaines,Ressources Humaines,8,80,16,4,2
104,30,M,5126,Mari̩(e),Consulting,Consultant,1,80,10,10,8
105,35,M,2859,C̩libataire,Consulting,Assistant de Direction,1,80,6,6,4
106,55,M,10239,Mari̩(e),Commercial,Cadre Commercial,3,80,24,1,0
107,38,F,5329,Divorc̩(e),Consulting,Assistant de Direction,7,80,17,13,11
110,34,M,4325,Mari̩(e),Consulting,Tech Lead,1,80,5,5,2
112,56,M,7260,C̩libataire,Consulting,Tech Lead,4,80,37,6,4
113,23,M,2322,Divorc̩(e),Commercial,Repr̩sentant Commercial,3,80,3,0,0
116,51,M,2075,Mari̩(e),Consulting,Consultant,3,80,10,4,2
117,30,M,4152,Mari̩(e),Consulting,Manager,1,80,11,11,10
118,46,M,9619,C̩libataire,Commercial,Cadre Commercial,1,80,9,9,8
119,40,M,13503,Mari̩(e),Consulting,Manager,1,80,22,22,3
120,51,M,5441,C̩libataire,Commercial,Cadre Commercial,0,80,11,10,7
121,30,F,5209,Divorc̩(e),Commercial,Cadre Commercial,1,80,11,11,8
124,46,M,10673,Mari̩(e),Consulting,Manager,2,80,21,10,9
125,32,M,5010,C̩libataire,Commercial,Cadre Commercial,1,80,12,11,8
126,54,F,13549,Mari̩(e),Consulting,Directeur Technique,9,80,16,4,3
128,24,F,4999,Mari̩(e),Commercial,Cadre Commercial,0,80,4,3,2
129,28,M,4221,Mari̩(e),Commercial,Cadre Commercial,1,80,5,5,4
131,58,M,13872,C̩libataire,Commercial,Cadre Commercial,0,80,38,37,10
132,44,M,2042,Mari̩(e),Consulting,Consultant,4,80,17,3,2
133,37,M,2073,Divorc̩(e),Ressources Humaines,Ressources Humaines,4,80,7,3,2
134,32,M,2956,C̩libataire,Consulting,Assistant de Direction,1,80,1,1,0
137,20,F,2926,C̩libataire,Consulting,Consultant,1,80,1,1,0
138,34,F,4809,C̩libataire,Consulting,Assistant de Direction,1,80,16,16,13
139,37,M,5163,Divorc̩(e),Consulting,Manager,5,80,17,1,0
140,59,F,18844,Mari̩(e),Ressources Humaines,Senior Manager,9,80,30,3,2
141,50,F,18172,Mari̩(e),Consulting,Directeur Technique,3,80,28,8,3
142,25,M,5744,C̩libataire,Commercial,Cadre Commercial,1,80,6,6,4
143,25,M,2889,Mari̩(e),Consulting,Assistant de Direction,1,80,2,2,2
144,22,F,2871,C̩libataire,Consulting,Consultant,1,80,1,0,0
145,51,F,7484,C̩libataire,Consulting,Manager,3,80,23,13,12
147,34,M,6074,C̩libataire,Consulting,Consultant,1,80,9,9,7
148,54,F,17328,C̩libataire,Ressources Humaines,Senior Manager,2,80,23,5,3
150,24,M,2774,Mari̩(e),Consulting,Consultant,0,80,6,5,3
151,34,F,4505,Divorc̩(e),Consulting,Assistant de Direction,6,80,12,1,0
152,37,M,7428,C̩libataire,Commercial,Cadre Commercial,2,80,12,5,3
153,34,F,11631,C̩libataire,Consulting,Senior Manager,2,80,14,11,10
154,36,F,9738,Mari̩(e),Commercial,Cadre Commercial,0,80,10,9,7
155,36,F,2835,Divorc̩(e),Consulting,Consultant,5,80,7,1,0
158,43,M,16959,Mari̩(e),Commercial,Senior Manager,1,80,25,25,12
159,30,M,2613,Divorc̩(e),Consulting,Assistant de Direction,1,80,10,10,7
160,33,M,6146,Mari̩(e),Commercial,Cadre Commercial,0,80,8,7,7
161,56,F,4963,Mari̩(e),Consulting,Assistant de Direction,9,80,7,5,4
162,51,M,19537,C̩libataire,Consulting,Directeur Technique,7,80,23,20,18
163,31,M,6172,Mari̩(e),Commercial,Cadre Commercial,4,80,12,7,7
164,26,F,2368,Mari̩(e),Consulting,Assistant de Direction,1,80,5,5,4
165,58,F,10312,Mari̩(e),Consulting,Manager,1,80,40,40,10
167,19,M,1675,C̩libataire,Commercial,Repr̩sentant Commercial,1,80,0,0,0
169,22,M,2523,Mari̩(e),Consulting,Consultant,0,80,3,2,1
170,49,F,6567,Mari̩(e),Consulting,Tech Lead,1,80,16,15,11
171,43,F,4739,C̩libataire,Consulting,Assistant de Direction,4,80,18,3,2
174,50,F,9208,C̩libataire,Commercial,Cadre Commercial,4,80,16,2,2
175,31,F,4559,Mari̩(e),Commercial,Cadre Commercial,3,80,4,2,2
176,41,M,8189,Divorc̩(e),Commercial,Cadre Commercial,3,80,12,9,7
177,26,F,2942,Mari̩(e),Ressources Humaines,Ressources Humaines,1,80,8,8,7
178,36,M,4941,Divorc̩(e),Consulting,Tech Lead,6,80,7,3,2
179,51,M,10650,C̩libataire,Consulting,Tech Lead,2,80,18,4,2
182,39,F,5902,Mari̩(e),Commercial,Cadre Commercial,4,80,17,15,11
183,25,M,8639,Mari̩(e),Commercial,Cadre Commercial,2,80,6,2,2
184,30,M,6347,Mari̩(e),Ressources Humaines,Ressources Humaines,0,80,12,11,9
190,32,F,4200,C̩libataire,Consulting,Consultant,7,80,10,5,4
192,45,M,3452,C̩libataire,Consulting,Assistant de Direction,5,80,9,6,5
193,38,F,4317,C̩libataire,Consulting,Assistant de Direction,3,80,19,3,2
194,30,F,2632,C̩libataire,Consulting,Assistant de Direction,1,80,5,5,4
195,32,M,4668,Divorc̩(e),Commercial,Cadre Commercial,0,80,9,8,7
197,30,F,3204,Divorc̩(e),Consulting,Assistant de Direction,5,80,8,3,2
198,30,M,2720,C̩libataire,Consulting,Consultant,0,80,6,5,3
199,41,M,17181,Divorc̩(e),Consulting,Senior Manager,4,80,21,7,6
200,41,M,2238,Mari̩(e),Consulting,Consultant,2,80,7,5,0
201,19,F,1483,C̩libataire,Consulting,Consultant,1,80,1,1,0
202,40,F,5605,Divorc̩(e),Consulting,Assistant de Direction,1,80,20,20,7
204,35,M,7295,Mari̩(e),Commercial,Cadre Commercial,1,80,10,10,8
205,53,M,2306,Mari̩(e),Commercial,Repr̩sentant Commercial,2,80,13,7,7
206,45,M,2348,Divorc̩(e),Consulting,Consultant,8,80,20,17,9
207,32,F,8998,C̩libataire,Commercial,Cadre Commercial,1,80,9,9,8
208,29,M,4319,Mari̩(e),Consulting,Tech Lead,1,80,10,10,7
211,51,M,6132,Mari̩(e),Consulting,Tech Lead,2,80,10,1,0
214,58,F,3346,Mari̩(e),Consulting,Assistant de Direction,4,80,9,1,0
215,40,M,10855,Mari̩(e),Commercial,Cadre Commercial,7,80,15,12,11
216,34,F,2231,Mari̩(e),Commercial,Repr̩sentant Commercial,6,80,6,4,3
217,22,M,2323,Mari̩(e),Consulting,Assistant de Direction,1,80,2,2,2
218,27,M,2024,Divorc̩(e),Consulting,Assistant de Direction,6,80,6,2,2
221,28,M,2713,Mari̩(e),Consulting,Assistant de Direction,1,80,5,5,2
223,57,M,9439,Divorc̩(e),Consulting,Manager,3,80,12,5,3
224,27,M,2566,Divorc̩(e),Consulting,Assistant de Direction,1,80,1,1,1
226,50,F,19926,C̩libataire,Consulting,Senior Manager,3,80,21,5,4
227,41,M,2451,Divorc̩(e),Consulting,Assistant de Direction,4,80,13,9,8
228,30,F,9419,Mari̩(e),Commercial,Cadre Commercial,2,80,12,10,9
230,38,F,8686,C̩libataire,Commercial,Cadre Commercial,4,80,12,8,3
231,32,M,3038,C̩libataire,Consulting,Assistant de Direction,3,80,8,5,4
233,27,M,3058,Mari̩(e),Consulting,Assistant de Direction,0,80,6,5,2
235,19,F,2325,C̩libataire,Commercial,Repr̩sentant Commercial,0,80,1,0,0
238,36,M,2088,C̩libataire,Consulting,Consultant,4,80,13,8,7
239,30,M,3072,Divorc̩(e),Consulting,Consultant,1,80,12,12,9
240,45,F,5006,Divorc̩(e),Commercial,Cadre Commercial,4,80,9,5,4
241,56,F,4257,Divorc̩(e),Consulting,Assistant de Direction,4,80,19,2,2
242,33,M,2500,C̩libataire,Consulting,Assistant de Direction,0,80,4,3,1
243,19,M,1102,C̩libataire,Consulting,Consultant,1,80,1,1,0
244,46,F,10453,Divorc̩(e),Commercial,Cadre Commercial,1,80,24,24,13
245,38,F,2288,C̩libataire,Consulting,Consultant,1,80,2,2,2
246,31,F,3929,Mari̩(e),Consulting,Assistant de Direction,8,80,7,4,2
247,34,F,2311,C̩libataire,Consulting,Assistant de Direction,2,80,9,3,2
248,41,F,3140,C̩libataire,Commercial,Repr̩sentant Commercial,1,80,4,4,3
249,50,M,3690,Mari̩(e),Consulting,Consultant,2,80,5,3,2
250,53,F,4450,Divorc̩(e),Consulting,Tech Lead,1,80,5,4,2
252,33,F,2756,Mari̩(e),Consulting,Assistant de Direction,1,80,8,8,7
253,40,F,19033,Mari̩(e),Consulting,Senior Manager,1,80,21,20,8
254,55,M,18722,C̩libataire,Consulting,Directeur Technique,8,80,36,24,15
256,34,M,9547,Mari̩(e),Consulting,Tech Lead,1,80,10,10,9
258,51,F,13734,C̩libataire,Consulting,Manager,3,80,21,7,7
259,52,M,19999,Mari̩(e),Consulting,Senior Manager,0,80,34,33,18
260,27,F,2279,C̩libataire,Consulting,Assistant de Direction,1,80,7,7,7
261,35,M,5916,Mari̩(e),Consulting,Tech Lead,3,80,8,1,0
262,43,M,2089,Divorc̩(e),Consulting,Assistant de Direction,4,80,7,5,4
264,45,M,16792,Mari̩(e),Consulting,Senior Manager,9,80,22,20,8
267,37,M,3564,Mari̩(e),Consulting,Assistant de Direction,1,80,8,8,7
269,35,F,4425,C̩libataire,Consulting,Consultant,5,80,10,6,2
270,42,F,5265,Divorc̩(e),Consulting,Tech Lead,2,80,11,5,3
271,38,M,6553,Mari̩(e),Consulting,Tech Lead,9,80,14,1,0
273,38,M,6261,Mari̩(e),Consulting,Tech Lead,3,80,9,7,7
274,27,M,4298,Mari̩(e),Consulting,Tech Lead,5,80,6,2,2
275,49,M,6804,Divorc̩(e),Consulting,Tech Lead,1,80,7,7,7
277,34,M,3815,Divorc̩(e),Consulting,Assistant de Direction,1,80,5,5,3
281,40,M,2741,Mari̩(e),Consulting,Consultant,8,80,15,7,2
282,38,M,6673,Mari̩(e),Consulting,Manager,7,80,17,1,0
283,29,F,7639,Mari̩(e),Commercial,Cadre Commercial,1,80,10,10,4
284,22,M,2328,Divorc̩(e),Consulting,Assistant de Direction,1,80,4,4,2
286,36,F,2153,C̩libataire,Consulting,Consultant,1,80,8,8,1
287,40,M,4876,Mari̩(e),Consulting,Manager,9,80,5,3,2
288,46,M,9396,Divorc̩(e),Consulting,Manager,7,80,17,4,2
291,32,M,10400,Mari̩(e),Commercial,Cadre Commercial,1,80,14,14,8
292,30,M,8474,C̩libataire,Consulting,Tech Lead,1,80,12,11,8
293,27,F,9981,C̩libataire,Commercial,Cadre Commercial,1,80,7,7,7
296,51,M,12490,Mari̩(e),Consulting,Directeur Technique,5,80,16,10,9
297,30,F,2657,C̩libataire,Consulting,Assistant de Direction,5,80,8,5,2
298,41,F,13591,C̩libataire,Commercial,Senior Manager,3,80,16,1,0
299,30,F,6696,C̩libataire,Commercial,Cadre Commercial,5,80,9,6,3
300,29,M,2058,C̩libataire,Consulting,Assistant de Direction,0,80,7,6,2
302,45,F,8865,C̩libataire,Commercial,Cadre Commercial,6,80,23,19,7
303,54,F,5940,Mari̩(e),Commercial,Cadre Commercial,2,80,16,6,2
304,36,M,5914,C̩libataire,Consulting,Consultant,8,80,16,13,11
305,33,F,2622,Mari̩(e),Consulting,Assistant de Direction,6,80,7,3,2
306,37,M,12185,Divorc̩(e),Consulting,Directeur Technique,1,80,10,10,8
307,38,M,10609,Divorc̩(e),Commercial,Cadre Commercial,0,80,17,16,10
308,31,M,4345,Mari̩(e),Consulting,Tech Lead,0,80,6,5,4
309,59,M,2177,Mari̩(e),Consulting,Assistant de Direction,3,80,7,1,0
311,37,M,2793,Divorc̩(e),Commercial,Repr̩sentant Commercial,4,80,13,9,8
312,29,F,7918,Mari̩(e),Commercial,Cadre Commercial,1,80,11,11,10
314,35,F,8789,C̩libataire,Commercial,Cadre Commercial,1,80,10,10,7
315,29,M,2389,C̩libataire,Consulting,Assistant de Direction,1,80,4,4,3
316,52,F,3212,C̩libataire,Consulting,Consultant,7,80,6,2,2
319,42,M,19232,Mari̩(e),Consulting,Senior Manager,1,80,22,22,17
321,59,M,2267,Mari̩(e),Ressources Humaines,Ressources Humaines,8,80,7,2,2
323,50,F,19517,Divorc̩(e),Commercial,Senior Manager,3,80,32,7,0
325,33,M,2436,Mari̩(e),Consulting,Consultant,5,80,8,5,4
327,43,F,16064,Mari̩(e),Commercial,Senior Manager,5,80,22,17,13
328,33,F,2707,Mari̩(e),Consulting,Consultant,7,80,13,9,7
329,52,M,19068,C̩libataire,Commercial,Senior Manager,1,80,33,33,7
330,32,F,3931,Mari̩(e),Commercial,Repr̩sentant Commercial,2,80,6,4,3
331,32,M,3730,C̩libataire,Consulting,Consultant,0,80,4,3,2
332,39,F,2232,Divorc̩(e),Consulting,Consultant,7,80,7,3,2
333,32,M,4465,Mari̩(e),Commercial,Cadre Commercial,0,80,4,3,2
334,41,M,3072,Divorc̩(e),Consulting,Assistant de Direction,2,80,17,1,0
335,40,M,3319,Divorc̩(e),Consulting,Assistant de Direction,1,80,9,9,8
336,45,M,19202,Mari̩(e),Consulting,Senior Manager,0,80,25,24,0
337,31,M,13675,Divorc̩(e),Consulting,Directeur Technique,9,80,9,2,2
338,33,F,2911,Mari̩(e),Consulting,Assistant de Direction,1,80,2,2,2
339,34,M,5957,Mari̩(e),Consulting,Tech Lead,6,80,13,11,9
340,37,F,3920,Mari̩(e),Consulting,Assistant de Direction,2,80,17,3,1
341,45,M,6434,Mari̩(e),Consulting,Tech Lead,4,80,9,3,2
342,37,M,10048,Divorc̩(e),Consulting,Tech Lead,6,80,17,1,0
343,39,F,10938,C̩libataire,Consulting,Manager,0,80,20,19,6
346,29,M,2340,C̩libataire,Consulting,Assistant de Direction,1,80,6,6,5
347,42,F,6545,C̩libataire,Consulting,Assistant de Direction,3,80,10,3,2
349,29,M,6931,Divorc̩(e),Commercial,Cadre Commercial,2,80,10,3,2
350,25,F,4898,Mari̩(e),Consulting,Tech Lead,0,80,5,4,2
351,42,F,2593,Divorc̩(e),Consulting,Consultant,0,80,10,9,6
352,40,M,19436,Divorc̩(e),Consulting,Directeur Technique,0,80,22,21,7
353,51,M,2723,Mari̩(e),Consulting,Assistant de Direction,1,80,1,1,0
355,31,M,3479,C̩libataire,Consulting,Consultant,0,80,6,5,4
359,32,M,2794,Mari̩(e),Consulting,Consultant,1,80,5,5,1
361,38,M,5249,Mari̩(e),Commercial,Cadre Commercial,3,80,13,8,7
362,32,M,2176,C̩libataire,Consulting,Consultant,4,80,9,6,2
363,46,F,16872,Mari̩(e),Commercial,Senior Manager,3,80,28,7,7
364,28,M,3485,C̩libataire,Consulting,Consultant,2,80,5,0,0
366,29,M,6644,Mari̩(e),Commercial,Cadre Commercial,2,80,10,0,0
367,31,M,5582,Mari̩(e),Consulting,Manager,0,80,10,9,0
369,25,M,4000,Divorc̩(e),Consulting,Manager,1,80,6,6,3
372,45,M,13496,Mari̩(e),Consulting,Manager,0,80,21,20,7
373,36,M,3210,Mari̩(e),Consulting,Consultant,0,80,16,15,13
374,55,M,19045,C̩libataire,Consulting,Senior Manager,0,80,37,36,10
376,47,M,11849,Mari̩(e),Consulting,Senior Manager,1,80,10,10,7
377,28,M,2070,Mari̩(e),Consulting,Assistant de Direction,1,80,5,5,2
378,37,M,6502,Mari̩(e),Commercial,Cadre Commercial,4,80,7,5,4
379,21,M,3230,C̩libataire,Consulting,Assistant de Direction,1,80,3,3,2
380,37,F,13603,Divorc̩(e),Consulting,Directeur Technique,2,80,15,5,2
381,35,F,11996,Divorc̩(e),Consulting,Senior Manager,7,80,10,7,7
382,38,F,5605,Divorc̩(e),Commercial,Cadre Commercial,1,80,8,8,0
384,26,F,6397,Divorc̩(e),Consulting,Tech Lead,1,80,6,6,5
385,50,M,19144,Divorc̩(e),Consulting,Directeur Technique,3,80,28,10,4
386,53,M,17584,Mari̩(e),Consulting,Directeur Technique,3,80,21,5,3
387,42,M,4907,Mari̩(e),Commercial,Cadre Commercial,1,80,20,20,16
388,29,M,4554,C̩libataire,Commercial,Cadre Commercial,1,80,10,10,7
389,55,M,5415,Mari̩(e),Consulting,Consultant,3,80,12,10,7
390,26,M,4741,Mari̩(e),Consulting,Manager,1,80,5,5,3
391,37,F,2115,C̩libataire,Consulting,Assistant de Direction,1,80,17,17,12
392,44,M,3161,Divorc̩(e),Consulting,Consultant,3,80,19,1,0
393,38,M,5745,Divorc̩(e),Consulting,Manager,9,80,10,2,2
394,26,M,2373,Divorc̩(e),Consulting,Consultant,2,80,5,3,2
395,28,F,3310,C̩libataire,Consulting,Assistant de Direction,1,80,5,5,3
396,49,F,18665,C̩libataire,Consulting,Directeur Technique,9,80,22,3,2
397,36,M,4485,C̩libataire,Consulting,Assistant de Direction,4,80,10,8,0
399,31,F,2789,Divorc̩(e),Commercial,Repr̩sentant Commercial,1,80,2,2,2
401,26,M,5828,C̩libataire,Commercial,Cadre Commercial,1,80,8,8,7
